exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events,activity_type_probabilities,autodetected_confirmed,autodetected_start_timestamp,autodetected_end_timestamp,autodetected_utc_offset,autodetected_activity_name,autodetected_sensor_based_activity_name,deletion_reason,activity_label,suggested_start_timestamp,suggested_end_timestamp,reconciliation_status
6140719780024723184,2025-11-16 17:06:24+0000,2025-11-16 17:43:06+0000,-08:00,2025-11-17 03:45:40+0000,2025-11-17 03:45:40+0000,Aerobic Workout,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6185247549928015440,2025-10-09 17:43:12+0000,2025-10-09 17:50:54+0000,-07:00,2025-10-09 17:59:38+0000,2025-10-09 17:59:38+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
618602564538545728,2026-02-18 20:10:17+0000,2026-02-18 20:16:15+0000,-08:00,2026-02-19 06:05:04+0000,2026-02-19 06:05:04+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
618845283882998864,2025-09-23 15:55:52+0000,2025-09-23 20:34:22+0000,-07:00,2025-09-23 16:08:51+0000,2025-09-23 20:34:31+0000,Weightlifting,TRACKER,0,UNSPECIFIED,,IMPERIAL,1049,6680,4073781,0,86,152,0,31104,1057,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
6189236457922990200,2025-09-06 23:30:23+0000,2025-09-06 23:35:30+0000,-07:00,2025-09-07 20:23:26+0000,2025-09-07 20:23:26+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6204018560486738888,2026-01-21 20:07:03+0000,2026-01-21 20:13:53+0000,-08:00,2026-01-21 20:17:02+0000,2026-01-21 20:17:02+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6204844752475261072,2025-08-26 22:54:43+0000,2025-08-26 22:59:50+0000,-07:00,2025-08-26 23:06:10+0000,2025-08-26 23:06:10+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6207540817243858808,2025-10-28 14:55:46+0000,2025-10-28 15:02:36+0000,-07:00,2025-10-28 15:19:32+0000,2025-10-28 15:19:32+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6229128575755767408,2025-09-10 23:13:30+0000,2025-09-11 00:12:24+0000,-07:00,2025-09-10 23:21:09+0000,2025-09-11 00:12:34+0000,Weightlifting,TRACKER,0,UNSPECIFIED,,IMPERIAL,294,918,411336,0,108,150,0,14848,369,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
6246095279017226272,2026-01-08 00:03:53+0000,2026-01-08 00:11:33+0000,-08:00,2026-01-08 00:18:32+0000,2026-01-08 00:18:32+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6259527596450311960,2025-12-29 23:08:39+0000,2025-12-30 01:02:44+0000,-05:00,2025-12-30 15:27:14+0000,2025-12-30 15:27:14+0000,Weights,TRACKER,0,UNSPECIFIED,,IMPERIAL,479,1250,539406,0,95,160,0,9984,795,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
6261322483081420568,2025-10-08 15:45:01+0000,2025-10-08 15:51:50+0000,-07:00,2025-10-08 15:58:11+0000,2025-10-08 15:58:11+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
