timestamp,steps,data source
2025-11-02T06:30:00Z,37,Charge 6
2025-11-02T06:31:00Z,53,Charge 6
2025-11-02T06:35:00Z,14,Charge 6
2025-11-02T06:42:00Z,9,Charge 6
2025-11-02T07:16:00Z,7,Charge 6
2025-11-02T07:20:00Z,11,Charge 6
2025-11-02T07:21:00Z,7,Charge 6
2025-11-02T07:22:00Z,21,Charge 6
2025-11-02T07:32:00Z,8,Charge 6
2025-11-02T09:05:00Z,9,Charge 6
2025-11-02T13:23:00Z,8,Charge 6
2025-11-02T13:28:00Z,5,Charge 6
2025-11-02T14:15:00Z,7,Charge 6
2025-11-02T14:21:00Z,7,Charge 6
2025-11-02T14:35:00Z,11,Charge 6
2025-11-02T14:50:00Z,9,Charge 6
2025-11-02T15:19:00Z,27,Charge 6
2025-11-02T15:20:00Z,5,Charge 6
2025-11-02T15:21:00Z,9,Charge 6
2025-11-02T15:22:00Z,25,Charge 6
2025-11-02T15:23:00Z,33,Charge 6
2025-11-02T15:24:00Z,58,Charge 6
2025-11-02T15:25:00Z,70,Charge 6
2025-11-02T15:26:00Z,19,Charge 6
2025-11-02T15:27:00Z,6,Charge 6
2025-11-02T15:29:00Z,34,Charge 6
2025-11-02T15:31:00Z,13,Charge 6
2025-11-02T15:32:00Z,21,Charge 6
2025-11-02T16:31:00Z,42,Charge 6
2025-11-02T16:32:00Z,44,Charge 6
2025-11-02T16:33:00Z,45,Charge 6
2025-11-02T16:34:00Z,61,Charge 6
2025-11-02T16:35:00Z,24,Charge 6
2025-11-02T16:36:00Z,21,Charge 6
2025-11-02T16:38:00Z,50,Charge 6
2025-11-02T16:40:00Z,20,Charge 6
2025-11-02T16:41:00Z,2,Charge 6
2025-11-02T16:44:00Z,10,Charge 6
2025-11-02T16:50:00Z,24,Charge 6
2025-11-02T16:53:00Z,6,Charge 6
2025-11-02T16:54:00Z,53,Charge 6
2025-11-02T16:55:00Z,9,Charge 6
2025-11-02T16:56:00Z,20,Charge 6
2025-11-02T16:57:00Z,37,Charge 6
2025-11-02T16:58:00Z,11,Charge 6
2025-11-02T16:59:00Z,13,Charge 6
2025-11-02T17:06:00Z,7,Charge 6
2025-11-02T17:24:00Z,22,Charge 6
2025-11-02T17:53:00Z,19,Charge 6
2025-11-02T17:54:00Z,18,Charge 6
2025-11-02T17:55:00Z,9,Charge 6
2025-11-02T17:56:00Z,10,Charge 6
2025-11-02T18:02:00Z,17,Charge 6
